"año","rol_establecimiento","id_vu","nombre_establecimiento","razon_social","rut_razon_social","ciiu4","ciiu6","region","rubro_vu","cantidad_toneladas","tratamiento_nivel_3","tratamiento_nivel_1","capitulo_ler","subcapitulo_ler","nombre_ler","nombre_establecimiento_trazabilidad","razon_social_trazabilidad","comuna_trazabilidad","id_comuna_trazabilidad","region_trazabilidad","rut","entrada_salida","capitulo ler","rut_razon_social_trazabilidad","tratamiento_nivel_2","categoria_residuo","rubro_vu_limpio"
2019,"Generador Industrial",5477690,"TERMINAL DE BUSES ESTACIÓN CENTRAL","INMOBILIARIA E INVERSIONES P Y R S A","96971370-5","Actividades de servicios vinculadas al transporte terrestre","Explotación de terminales terrestres de pasajeros","Metropolitana de Santiago","Transporte y almacenamiento",100008,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Residuos municipales no especificados en otra categoría","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Transporte y Logística"
2019,"Generador Industrial",4917485,"CENTRAL TERMOELECTRICA CAMPICHE","EMPRESA ELECTRICA CAMPICHE SPA","76008306-2","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Valparaíso","Termoeléctricas",98739.36,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","DEPÓSITO DE RISES DE COMBUSTIÓN DEL COMPLEJO TERMOELÉCTRICO VENTANAS DEPÓSITO EL PANGUE","AES ANDES S A","Puchuncaví",5105,"Valparaíso",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",309729,"CENTRAL TERMOELÉCTRICA NUEVA VENTANAS","EMPRESA ELECTRICA VENTANAS SPA","96814370-0","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Valparaíso","Termoeléctricas",96777.34,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","DEPÓSITO DE RISES DE COMBUSTIÓN DEL COMPLEJO TERMOELÉCTRICO VENTANAS DEPÓSITO EL PANGUE","AES ANDES S A","Puchuncaví",5105,"Valparaíso",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",5441369,"CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA","AES ANDES S A","94272000-9","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Antofagasta","Termoeléctricas",90862.44,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","DEPÓSITO DE CENIZAS BARRILES","AES ANDES S A","Tocopilla",2301,"Antofagasta",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",633,"COMPAÑÍA SIDERÚRGICA HUACHIPATO","CIA SIDERURGICA HUACHIPATO S.A.","94637000-2","Industrias básicas de hierro y acero","Industrias básicas de hierro y acero","Biobío","Industria manufacturera",83452,"Pretratamiento de Metales","Valorización","Residuos de procesos térmicos","Residuos de la industria del hierro y del acero","Escorias no tratadas","COMPAÑÍA SIDERÚRGICA HUACHIPATO","CIA SIDERURGICA HUACHIPATO S.A.","Talcahuano",8110,"Biobío",NA,NA,NA,NA,NA,"Metales","Industria y Manufactura"
2019,"Generador Industrial",436492,"CENTRAL TERMICA ANDINA","CENTRAL TERMOELECTRICA ANDINA S A","76708710-1","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Antofagasta","Termoeléctricas",76045,"Relleno sanitario","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",3522,"CMPC CELULOSA PLANTA SANTA FE","CMPC PULP SPA","96532330-9","Fabricación de pasta de madera, papel y cartón","Fabricación de celulosa y otras pastas de madera","Biobío","Industria del papel y celulosa",75461,"Incineración con recuperación de energía","Valorización","Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón","Residuos de la producción y transformación de pasta de papel, papel y cartón","Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lodos","Industria y Manufactura"
2019,"Generador Industrial",3146,"PLANTA FAENADORA","FAENADORA SAN VICENTE LIMITADA","78483600-2","Elaboración y conservación de carne","Elaboración y conservación de carne y productos cárnicos","Libertador Gral. Bernardo O'Higgins","Industria manufacturera",74685.75,"Reciclaje de restos de animal para consumo animal","Valorización","Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos","Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal","Materiales inadecuados para el consumo o la elaboración","FAENADORA LO MIRANDA","FAENADORA LO MIRANDA LIMITADA","Doñihue",6105,"Libertador Gral. Bernardo O'Higgins",NA,NA,NA,NA,NA,"Residuos inadecuados para consumo","Industria y Manufactura"
2019,"Generador Industrial",6638,"GUACOLDA","GUACOLDA ENERGIA SPA","76418918-3","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Atacama","Termoeléctricas",74407,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas del hogar, escorias y polvo de caldera (excepto el polvo de caldera especificado en el código 10 01 04)","DEPOSITO DE CENIZAS GUACOLDA","GUACOLDA ENERGIA SPA","Huasco",3304,"Atacama",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",5441785,"CENTRAL TÉRMICA MEJILLONES","ENGIE ENERGIA CHILE S.A.","88006900-4","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Antofagasta","Termoeléctricas",70919,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","VERTEDERO CENIZA Y ESCORIA CTM","ENGIE ENERGIA CHILE S.A.","Mejillones",2102,"Antofagasta",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",5453368,"PLANTA TRATAMIENTO LA ESTRELLA","AGRICOLA SUPER LIMITADA","88680500-4","Actividades de apoyo a la ganadería","Actividades de apoyo a la ganadería","Libertador Gral. Bernardo O'Higgins","Producción agropecuaria",62806,"Valorización","Valorización","Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos","Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca","Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orgánicos","Agro, Pesca y Alimentos"
2019,"Generador Industrial",5476280,"EDIFICIO SARA MONCADA","INMOBILIARIA PLAZA PROVIDENCIA SPA","76609771-5","Construcción de edificios para uso residencial y no residencial","Construcción de edificios para uso residencial","Metropolitana de Santiago","Construcción",60162,"Sitio de Escombros de la Construcción","Eliminación","Residuos de la construcción y demolición","Tierra (incluida la excavada de zonas contaminadas), piedras y lodos de drenaje","Tierra y piedras distintas de las especificadas en el código 17 05 03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Residuos de construcción","Construcción"
2019,"Generador Industrial",5452863,"SISTEMA DE TRATAMIENTO SECUNDARIO DE RILES, PLANTA PUENTE ALTO DE PAPELES CORDILLERA S.A.","PAPELES CORDILLERA SPA","96853150-6","Fabricación de pasta de madera, papel y cartón","Fabricación de papel y cartón para su posterior uso industrial n.c.p.","Metropolitana de Santiago","Industria del papel y celulosa",58481.61,"Compostaje","Valorización","Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón","Residuos de la producción y transformación de pasta de papel, papel y cartón","Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10","PLANTA COMPOSTAJE SAN FRANCISCO MOSTAZAL","AGROORGANICOS MOSTAZAL LIMITADA","Mostazal",6110,"Libertador Gral. Bernardo O'Higgins",NA,NA,NA,NA,NA,"Lodos","Industria y Manufactura"
2019,"Generador Industrial",5477404,"CONJUNTO FRANKLIN 140","SINERGIA INMOBILIARIA S.A.","96787990-8","Construcción de edificios para uso residencial y no residencial","Construcción de edificios para uso residencial","Metropolitana de Santiago","Construcción",57962.5,"Preparación para reutilización","Valorización","Residuos de la construcción y demolición","Otros residuos de construcción y demolición","Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Residuos de construcción","Construcción"
2019,"Generador Industrial",5441923,"CENTRAL TERMOELECTRICA BOCAMINA U1","ENEL GENERACION CHILE S.A.","91081000-6","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Biobío","Termoeléctricas",56244,"Vertedero","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",5476046,"INMOBILIARIA ANYA","INMOBILIARIA ANYA S.A.","76215606-7","Construcción de edificios para uso residencial y no residencial","Construcción de edificios para uso no residencial","Metropolitana de Santiago","Construcción",55981.41,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Mezclas de residuos municipales","RELLENO SANITARIO LOMA LOS COLORADOS","K D M  S.A.","Tiltil",13303,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Construcción"
2019,"Generador Industrial",322488,"CMPC PULP SA PLANTA PACIFICO","CMPC PULP SPA","96532330-9","Fabricación de pasta de madera, papel y cartón","Fabricación de celulosa y otras pastas de madera","Araucanía","Industria del papel y celulosa",55630,"Vertedero","Eliminación","Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón","Residuos de la producción y transformación de pasta de papel, papel y cartón","Lodos de lejías verdes (procedentes de la recuperación de lejías de cocción)","CMPC PULP SA PLANTA PACIFICO","CMPC PULP SPA","Collipulli",9202,"Araucanía",NA,NA,NA,NA,NA,"Lodos","Industria y Manufactura"
2019,"Generador Industrial",245136,"MOLYMETNOS","MOLYMETNOS S.A.","76107905-0","Extracción de otros minerales metalíferos no ferrosos, excepto cobre","Extracción de otros minerales metalíferos no ferrosos n.c.p. (excepto zinc, plomo y manganeso)","Metropolitana de Santiago","Minería",54982.91,"Monorelleno","Eliminación","Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial","Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría","Lodos procedentes de otros tratamientos de aguas residuales industriales, distintos de los especificados en el código 19 08 13","INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA","INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA","San Bernardo",13401,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Lodos","Minería"
2019,"Generador Industrial",5469068,"INMOBILIARIA ANYA SA","INMOBILIARIA ANYA S.A.","76215606-7","Construcción de edificios para uso residencial y no residencial","Construcción de edificios para uso no residencial","Metropolitana de Santiago","Construcción",53238.25,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Mezclas de residuos municipales","RELLENO SANITARIO LOMA LOS COLORADOS","K D M  S.A.","Tiltil",13303,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Construcción"
2019,"Generador Industrial",5441768,"CENTRAL TARAPACÁ","ENEL GENERACION CHILE S.A.","91081000-6","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Tarapacá","Termoeléctricas",52971,"Vertedero","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","CENTRAL ATACAMA","ENEL GENERACION CHILE S.A.","Mejillones",2102,"Antofagasta",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",3216,"CMPC CELULOSA PLANTA LAJA","CMPC PULP SPA","96532330-9","Fabricación de pasta de madera, papel y cartón","Fabricación de celulosa y otras pastas de madera","Biobío","Industria del papel y celulosa",51633,"Incineración con recuperación de energía","Valorización","Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón","Residuos de la producción y transformación de pasta de papel, papel y cartón","Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lodos","Industria y Manufactura"
2019,"Generador Industrial",633,"COMPAÑÍA SIDERÚRGICA HUACHIPATO","CIA SIDERURGICA HUACHIPATO S.A.","94637000-2","Industrias básicas de hierro y acero","Industrias básicas de hierro y acero","Biobío","Industria manufacturera",48097,"Área de Disposición Controlada","Eliminación","Residuos de procesos térmicos","Residuos de la industria del hierro y del acero","Residuos sólidos del tratamiento de gases, distintos de los especificados en el código 10 02 07","COMPAÑÍA SIDERÚRGICA HUACHIPATO","CIA SIDERURGICA HUACHIPATO S.A.","Talcahuano",8110,"Biobío",NA,NA,NA,NA,NA,"Metales","Industria y Manufactura"
2019,"Generador Industrial",5473370,"CITELUM CHILE MAIPU","ICITY SPA","76028251-0","Instalaciones eléctricas","Instalaciones eléctricas","Metropolitana de Santiago","Construcción",47738.38,"Relleno sanitario","Eliminación","Residuos de la construcción y demolición","Otros residuos de construcción y demolición","Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos de construcción","Construcción"
2019,"Generador Industrial",5467566,"JOTABECHE","TRANSPORTES COMETA S A","95896000-K","Otras actividades de transporte de pasajeros por vía terrestre","Transporte de pasajeros en buses interurbanos","Metropolitana de Santiago","Transporte de pasajeros",47500,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Residuos municipales no especificados en otra categoría","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Transporte y Logística"
2019,"Generador Industrial",3522,"CMPC CELULOSA PLANTA SANTA FE","CMPC PULP SPA","96532330-9","Fabricación de pasta de madera, papel y cartón","Fabricación de celulosa y otras pastas de madera","Biobío","Industria del papel y celulosa",47024,"Preparación para reutilización","Valorización","Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón","Residuos de la producción y transformación de pasta de papel, papel y cartón","Lodos de lejías verdes (procedentes de la recuperación de lejías de cocción)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lodos","Industria y Manufactura"
2019,"Generador Industrial",5453560,"VIÑA SANTA CAROLINA","VINA SANTA CAROLINA S.A.","96644340-5","Elaboración de vinos","Elaboración de vinos","Metropolitana de Santiago","Industria manufacturera",46890.96,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Residuos municipales no especificados en otra categoría","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Industria y Manufactura"
2019,"Generador Industrial",6638,"GUACOLDA","GUACOLDA ENERGIA SPA","76418918-3","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Atacama","Termoeléctricas",46783.5,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Residuos cálcicos de reacción, en forma sólida, procedentes de la desulfuración de gases de combustión","DEPOSITO DE CENIZAS GUACOLDA","GUACOLDA ENERGIA SPA","Huasco",3304,"Atacama",NA,NA,NA,NA,NA,"Otros","Energía y Suministro"
2019,"Generador Industrial",5472782,"OFF ROAD S A","OFF ROAD SA","76943150-0","Venta de partes, piezas y accesorios para vehículos automotores","Venta de partes, piezas y accesorios para vehículos automotores","Metropolitana de Santiago","Ventas y mantención de vehículos automotores",45873,"Eliminación","Eliminación","Residuos no especificados en otro capítulo de la lista","Vehículos de diferentes medios de transporte (incluidas las máquinas no de carretera) al final de su vida útil y residuos del desguace de vehículos al final de su vida útil y del mantenimiento de vehículos (excepto los de los capítulos 13, 14 y los subcapítulos 16 06 y 16 08)","Neumáticos fuera de uso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neumáticos","Comercio y Servicios Empresariales"
2019,"Generador Industrial",5441923,"CENTRAL TERMOELECTRICA BOCAMINA U1","ENEL GENERACION CHILE S.A.","91081000-6","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Biobío","Termoeléctricas",45792,"Co-procesamiento","Valorización","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","COACTIVA","CEMENTO POLPAICO S A","Tiltil",13303,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",2397,"PLANTA ARAUCO","CELULOSA ARAUCO Y CONSTITUCION S A","93458000-1","Fabricación de pasta de madera, papel y cartón","Fabricación de celulosa y otras pastas de madera","Biobío","Industria del papel y celulosa",45779.82,"Vertedero","Eliminación","Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón","Residuos de la producción y transformación de pasta de papel, papel y cartón","Residuos no especificados en otra categoría","PLANTA ARAUCO","CELULOSA ARAUCO Y CONSTITUCION S A","Arauco",8202,"Biobío",NA,NA,NA,NA,NA,"Madera","Industria y Manufactura"
2019,"Generador Industrial",5465395,"CASA MATRIZ","PULLMAN CARGO S A","89622400-K","Otras actividades de transporte de pasajeros por vía terrestre","Transporte de pasajeros en buses interurbanos","Metropolitana de Santiago","Transporte de pasajeros",45200,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Residuos municipales no especificados en otra categoría","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Transporte y Logística"
2019,"Generador Industrial",11643,"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS LA FARFANA","AGUAS ANDINAS S A","61808000-5","Evacuación de aguas residuales","Evacuación y tratamiento de aguas servidas","Metropolitana de Santiago","Plantas de tratamiento de aguas servidas",45160.41,"Monorelleno","Eliminación","Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial","Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría","Lodos del tratamiento de aguas residuales urbanas","CENTRO DE GESTION DE BIOSOLIDOS EL RUTAL","AGUAS ANDINAS S A","Tiltil",13303,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Lodos","Gestión Ambiental y Residuos"
2019,"Generador Industrial",5477404,"CONJUNTO FRANKLIN 140","SINERGIA INMOBILIARIA S.A.","96787990-8","Construcción de edificios para uso residencial y no residencial","Construcción de edificios para uso residencial","Metropolitana de Santiago","Construcción",43701,"Preparación para reutilización","Valorización","Residuos de la construcción y demolición","Otros residuos de construcción y demolición","Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Residuos de construcción","Construcción"
